Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,X_Start,Y_Start
1,1.0,1.0,270.0,3.0,78.55,11.67,60.0,0.0,0.0
1,1.0,1.0,246.0,3.0,95.98,9.7,60.0,97.0,0.0
1,1.0,1.0,251.0,3.0,77.43,8.98,45.0,97.0,99.0
1,1.0,1.0,249.0,3.0,83.77,10.81,60.0,97.0,305.0
1,1.0,1.0,206.0,3.0,84.08,8.85,45.0,202.0,0.0
1,1.0,1.0,207.0,3.0,96.75,9.73,60.0,239.0,0.0
1,1.0,1.0,134.0,3.0,73.56,10.81,45.0,271.0,0.0
1,1.0,1.0,234.0,3.0,83.85,7.71,60.0,0.0,389.0
1,1.0,1.0,184.0,3.0,71.43,9.4,30.0,244.0,305.0
1,1.0,1.0,156.0,3.0,71.73,8.95,60.0,97.0,440.0
1,1.0,1.0,158.0,3.0,71.23,8.98,45.0,157.0,440.0
1,1.0,1.0,160.0,3.0,84.54,7.38,30.0,239.0,218.0
1,1.0,1.0,174.0,3.0,84.6,8.85,60.0,244.0,449.0
1,1.0,1.0,146.0,3.0,84.47,8.79,45.0,0.0,456.0
1,1.0,1.0,114.0,3.0,92.33,8.23,60.0,65.0,389.0
1,1.0,1.0,82.0,3.0,90.99,8.01,30.0,208.0,440.0
1,1.0,1.0,52.0,3.0,78.76,9.46,30.0,227.0,440.0
1,1.0,1.0,175.0,3.0,90.26,9.39,30.0,39.0,456.0
1,1.0,1.0,144.0,3.0,71.54,5.93,60.0,65.0,465.0
1,1.0,1.0,149.0,3.0,71.36,8.81,45.0,239.0,276.0
1,1.0,1.0,58.0,3.0,71.92,7.31,30.0,84.0,389.0
1,1.0,1.0,31.0,3.0,78.08,9.39,30.0,202.0,283.0
1,1.0,1.0,39.0,3.0,71.97,5.87,60.0,220.0,283.0
1,1.0,1.0,72.0,3.0,72.48,5.85,60.0,84.0,435.0
1,1.0,1.0,84.0,3.0,78.3,6.53,60.0,90.0,465.0
1,1.0,1.0,25.0,3.0,84.45,10.07,30.0,97.0,479.0
1,1.0,1.0,28.0,3.0,90.95,7.91,30.0,112.0,479.0
1,1.0,1.0,11.0,3.0,97.27,11.43,45.0,128.0,479.0
1,1.0,1.0,36.0,3.0,72.13,8.69,60.0,146.0,479.0
1,1.0,1.0,1.0,3.0,71.68,7.28,30.0,39.0,493.0
1,1.0,1.0,14.0,3.0,90.69,7.9,45.0,128.0,490.0
1,1.0,1.0,65.0,3.0,84.93,8.63,45.0,60.0,456.0
1,1.0,1.0,9.0,3.0,84.88,8.63,60.0,157.0,494.0
1,1.0,1.0,8.0,3.0,96.92,8.57,45.0,167.0,494.0
1,1.0,1.0,24.0,3.0,84.86,7.21,60.0,176.0,494.0
1,1.0,1.0,38.0,3.0,84.37,8.63,45.0,191.0,494.0
1,1.0,1.0,40.0,3.0,72.36,8.67,30.0,141.0,490.0
1,1.0,1.0,45.0,3.0,97.58,10.0,60.0,59.0,493.0
1,1.0,1.0,17.0,3.0,78.19,6.53,45.0,199.0,494.0
1,1.0,1.0,29.0,3.0,72.6,5.84,45.0,227.0,494.0
1,1.0,1.0,48.0,3.0,97.21,9.99,60.0,233.0,494.0
1,1.0,2.0,252.0,3.0,71.65,10.38,60.0,0.0,0.0
1,1.0,2.0,255.0,3.0,78.13,9.36,60.0,130.0,0.0
1,1.0,2.0,236.0,3.0,83.26,11.51,45.0,0.0,201.0
1,1.0,2.0,248.0,3.0,70.94,9.65,45.0,130.0,242.0
1,1.0,2.0,215.0,3.0,79.17,8.48,45.0,228.0,0.0
1,1.0,2.0,241.0,3.0,84.04,11.46,30.0,130.0,320.0
1,1.0,2.0,216.0,3.0,90.85,11.1,60.0,242.0,242.0
1,1.0,2.0,128.0,3.0,98.95,10.4,45.0,92.0,201.0
1,1.0,2.0,121.0,3.0,99.29,10.43,30.0,108.0,201.0
1,1.0,2.0,180.0,3.0,78.16,8.39,60.0,0.0,351.0
1,1.0,2.0,182.0,3.0,90.9,8.49,45.0,41.0,351.0
1,1.0,2.0,133.0,3.0,91.35,9.36,30.0,121.0,201.0
1,1.0,2.0,106.0,3.0,97.11,10.43,30.0,216.0,320.0
1,1.0,2.0,100.0,3.0,72.26,7.43,30.0,74.0,351.0
1,1.0,2.0,124.0,3.0,97.99,9.51,30.0,274.0,0.0
1,1.0,2.0,190.0,3.0,96.42,11.69,30.0,0.0,433.0
1,1.0,2.0,88.0,3.0,90.89,8.2,30.0,231.0,320.0
1,1.0,2.0,85.0,3.0,84.97,8.7,30.0,74.0,422.0
1,1.0,2.0,70.0,3.0,85.33,7.28,30.0,92.0,462.0
1,1.0,2.0,161.0,3.0,83.88,8.8,45.0,130.0,468.0
1,1.0,2.0,148.0,3.0,90.37,7.97,30.0,174.0,468.0
1,1.0,2.0,123.0,3.0,73.98,10.17,60.0,283.0,242.0
1,1.0,2.0,4.0,3.0,78.1,6.55,30.0,274.0,210.0
1,1.0,2.0,50.0,3.0,96.84,9.99,45.0,109.0,462.0
1,1.0,2.0,51.0,3.0,78.03,9.36,60.0,74.0,463.0
1,1.0,2.0,3.0,3.0,84.9,8.63,60.0,81.0,463.0
1,1.0,2.0,21.0,3.0,72.5,7.26,60.0,115.0,462.0
1,1.0,3.0,259.0,3.0,83.4,13.55,30.0,0.0,0.0
1,1.0,3.0,228.0,3.0,83.15,10.75,60.0,128.0,0.0
1,1.0,3.0,213.0,3.0,97.3,13.17,60.0,128.0,132.0
1,1.0,3.0,265.0,3.0,71.22,9.16,30.0,178.0,132.0
1,1.0,3.0,205.0,3.0,77.75,10.63,30.0,0.0,237.0
1,1.0,3.0,210.0,3.0,71.39,8.64,60.0,49.0,237.0
1,1.0,3.0,238.0,3.0,71.3,7.9,30.0,178.0,376.0
1,1.0,3.0,122.0,3.0,79.34,9.26,45.0,276.0,0.0
1,1.0,3.0,143.0,3.0,71.48,7.55,45.0,49.0,425.0
1,1.0,3.0,193.0,3.0,96.87,11.75,30.0,243.0,132.0
1,1.0,3.0,105.0,3.0,79.02,6.92,60.0,105.0,237.0
1,1.0,3.0,171.0,3.0,78.03,8.19,60.0,128.0,356.0
1,1.0,3.0,162.0,3.0,77.96,9.48,60.0,243.0,246.0
1,1.0,3.0,168.0,3.0,90.19,10.87,60.0,263.0,246.0
1,1.0,3.0,89.0,3.0,85.44,7.37,45.0,264.0,132.0
1,1.0,3.0,98.0,3.0,90.48,10.92,45.0,119.0,237.0
1,1.0,3.0,159.0,3.0,72.01,8.97,60.0,128.0,406.0
1,1.0,3.0,71.0,3.0,71.74,8.8,45.0,263.0,305.0
1,1.0,3.0,96.0,3.0,91.59,9.54,60.0,105.0,343.0
1,1.0,3.0,163.0,3.0,78.21,8.21,30.0,178.0,449.0
1,1.0,3.0,75.0,3.0,91.21,10.77,60.0,243.0,306.0
1,1.0,3.0,79.0,3.0,96.93,10.01,30.0,251.0,306.0
1,1.0,3.0,56.0,3.0,91.08,7.9,45.0,263.0,363.0
1,1.0,4.0,277.0,3.0,83.32,18.33,30.0,0.0,0.0
1,1.0,4.0,232.0,3.0,89.6,11.11,30.0,0.0,267.0
1,1.0,4.0,227.0,3.0,96.25,12.03,45.0,134.0,267.0
1,1.0,4.0,202.0,3.0,84.09,10.78,30.0,0.0,386.0
1,1.0,4.0,191.0,3.0,77.54,8.52,45.0,59.0,386.0
1,1.0,4.0,132.0,3.0,98.64,11.19,60.0,278.0,0.0
1,1.0,4.0,152.0,3.0,84.12,7.51,45.0,134.0,402.0
2,1.0,1.0,245.0,2.0,70.94,7.96,45.0,0.0,0.0
2,1.0,1.0,273.0,2.0,72.64,14.69,60.0,138.0,0.0
2,1.0,1.0,256.0,2.0,77.3,11.1,30.0,0.0,142.0
2,1.0,1.0,240.0,2.0,71.37,7.1,60.0,138.0,375.0
2,1.0,1.0,242.0,2.0,96.07,12.09,45.0,0.0,410.0
2,1.0,1.0,135.0,2.0,74.26,11.5,60.0,100.0,142.0
2,1.0,1.0,130.0,2.0,99.06,10.12,30.0,116.0,142.0
2,1.0,1.0,139.0,2.0,92.95,13.92,30.0,280.0,0.0
2,1.0,1.0,185.0,2.0,84.38,7.58,45.0,116.0,345.0
2,1.0,1.0,112.0,2.0,97.75,9.02,30.0,253.0,375.0
2,1.0,1.0,110.0,2.0,90.94,11.04,45.0,72.0,410.0
2,1.0,1.0,94.0,2.0,91.83,8.23,30.0,271.0,375.0
2,1.0,1.0,172.0,2.0,90.8,10.83,30.0,138.0,473.0
2,1.0,1.0,170.0,2.0,83.95,10.13,45.0,177.0,473.0
2,1.0,1.0,169.0,2.0,84.32,8.71,30.0,205.0,473.0
2,1.0,1.0,99.0,2.0,72.94,5.95,60.0,280.0,409.0
2,1.0,1.0,95.0,2.0,79.85,8.18,45.0,89.0,410.0
2,1.0,1.0,57.0,2.0,96.92,11.46,60.0,100.0,454.0
2,1.0,1.0,13.0,2.0,97.03,8.6,30.0,116.0,478.0
2,1.0,1.0,44.0,2.0,71.8,8.7,45.0,239.0,473.0
2,1.0,1.0,22.0,2.0,96.98,10.01,30.0,100.0,490.0
2,1.0,1.0,104.0,2.0,78.64,8.19,45.0,133.0,142.0
2,1.0,1.0,23.0,2.0,71.87,7.28,45.0,239.0,493.0
2,1.0,1.0,41.0,2.0,97.31,8.57,45.0,133.0,282.0
2,1.0,1.0,35.0,2.0,72.34,8.69,45.0,0.0,495.0
2,1.0,1.0,15.0,2.0,97.31,8.58,60.0,132.0,478.0
2,1.0,1.0,49.0,2.0,91.38,10.72,30.0,133.0,301.0
2,1.0,1.0,7.0,2.0,84.59,7.22,30.0,259.0,493.0
2,1.0,1.0,20.0,2.0,91.19,9.31,45.0,20.0,495.0
2,1.0,1.0,33.0,2.0,97.34,10.0,60.0,34.0,495.0
2,1.0,2.0,278.0,2.0,77.19,15.6,45.0,0.0,0.0
2,1.0,2.0,230.0,2.0,83.15,11.41,45.0,0.0,209.0
2,1.0,2.0,250.0,2.0,96.18,12.67,30.0,105.0,209.0
2,1.0,2.0,189.0,2.0,90.52,8.84,60.0,186.0,209.0
2,1.0,2.0,187.0,2.0,72.18,6.44,30.0,0.0,328.0
2,1.0,2.0,196.0,2.0,96.63,12.04,30.0,240.0,209.0
2,1.0,2.0,186.0,2.0,84.38,8.13,60.0,50.0,328.0
2,1.0,2.0,231.0,2.0,71.02,6.94,60.0,186.0,359.0
2,1.0,2.0,195.0,2.0,96.69,9.1,60.0,105.0,347.0
2,1.0,2.0,155.0,2.0,71.63,9.08,45.0,105.0,421.0
2,1.0,2.0,118.0,2.0,73.37,10.2,30.0,268.0,0.0
2,1.0,2.0,173.0,2.0,77.74,9.53,45.0,240.0,312.0
2,1.0,2.0,102.0,2.0,72.63,6.09,60.0,163.0,347.0
2,1.0,2.0,177.0,2.0,97.08,10.12,60.0,0.0,429.0
2,1.0,2.0,64.0,2.0,72.36,5.95,30.0,164.0,421.0
2,1.0,2.0,115.0,2.0,78.96,8.09,30.0,34.0,429.0
2,1.0,2.0,92.0,2.0,85.29,7.57,45.0,274.0,359.0
2,1.0,2.0,150.0,2.0,78.18,9.42,60.0,0.0,463.0
2,1.0,2.0,80.0,2.0,96.93,11.47,45.0,186.0,471.0
2,1.0,2.0,16.0,2.0,84.23,7.24,30.0,272.0,312.0
2,1.0,2.0,32.0,2.0,78.33,7.97,45.0,205.0,471.0
2,1.0,2.0,46.0,2.0,96.86,8.59,30.0,272.0,332.0
2,1.0,2.0,63.0,2.0,78.97,9.38,60.0,274.0,461.0
2,1.0,2.0,81.0,2.0,78.29,7.93,60.0,25.0,463.0
2,1.0,2.0,27.0,2.0,90.86,9.32,60.0,222.0,471.0
2,1.0,2.0,30.0,2.0,72.64,5.84,60.0,235.0,471.0
2,1.0,2.0,37.0,2.0,97.3,10.01,30.0,242.0,471.0
2,1.0,3.0,223.0,2.0,98.79,14.91,30.0,0.0,0.0
2,1.0,3.0,271.0,2.0,71.2,11.8,30.0,38.0,0.0
2,1.0,3.0,220.0,2.0,86.91,12.95,30.0,115.0,0.0
2,1.0,3.0,263.0,2.0,71.5,11.51,45.0,172.0,0.0
2,1.0,3.0,214.0,2.0,96.72,11.01,30.0,172.0,250.0
2,1.0,3.0,166.0,2.0,90.63,8.28,30.0,203.0,250.0
2,1.0,3.0,237.0,2.0,89.57,11.38,60.0,203.0,309.0
2,1.0,3.0,167.0,2.0,90.15,10.95,45.0,203.0,411.0
2,1.0,3.0,91.0,2.0,72.6,7.62,30.0,262.0,0.0
2,1.0,3.0,136.0,2.0,99.52,11.5,30.0,279.0,0.0
