Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,X_Start,Y_Start,Width,Length
1,1.0,1.0,281.0,1.0,90.05,18.81,45.0,0.0,0.0,232.0,362.0
1,1.0,1.0,232.0,1.0,89.6,11.11,45.0,0.0,362.0,134.0,119.0
1,1.0,1.0,239.0,1.0,77.77,9.9,45.0,134.0,362.0,130.0,132.0
1,1.0,1.0,204.0,1.0,71.93,9.07,60.0,232.0,0.0,37.0,276.0
1,1.0,1.0,134.0,1.0,73.56,10.81,60.0,269.0,0.0,17.0,274.0
1,1.0,1.0,159.0,1.0,72.01,8.97,45.0,232.0,276.0,46.0,56.0
1,1.0,1.0,185.0,1.0,84.38,7.58,60.0,264.0,362.0,20.0,133.0
1,1.0,1.0,150.0,1.0,78.18,9.42,45.0,232.0,332.0,25.0,20.0
1,1.0,1.0,59.0,1.0,97.36,11.47,30.0,278.0,276.0,8.0,60.0
1,1.0,1.0,44.0,1.0,71.8,8.7,30.0,257.0,332.0,14.0,20.0
1,1.0,1.0,63.0,1.0,78.97,9.38,60.0,0.0,481.0,14.0,21.0
1,1.0,1.0,25.0,1.0,84.45,10.07,30.0,14.0,481.0,15.0,16.0
1,1.0,1.0,46.0,1.0,96.86,8.59,30.0,29.0,481.0,13.0,17.0
1,1.0,1.0,27.0,1.0,90.86,9.32,60.0,42.0,481.0,13.0,14.0
1,1.0,1.0,81.0,1.0,78.29,7.93,30.0,271.0,332.0,7.0,24.0
1,1.0,1.0,78.0,1.0,91.01,7.88,30.0,278.0,336.0,6.0,26.0
1,1.0,1.0,35.0,1.0,72.34,8.69,45.0,232.0,352.0,20.0,7.0
1,1.0,1.0,1.0,1.0,71.68,7.28,45.0,55.0,481.0,20.0,6.0
1,1.0,1.0,50.0,1.0,96.84,9.99,60.0,75.0,481.0,6.0,20.0
1,1.0,1.0,33.0,1.0,97.34,10.0,60.0,252.0,352.0,9.0,6.0
1,1.0,1.0,17.0,1.0,78.19,6.53,45.0,261.0,352.0,6.0,7.0
1,1.0,2.0,279.0,1.0,76.5,14.23,30.0,0.0,0.0,278.0,203.0
1,1.0,2.0,265.0,1.0,71.22,9.16,60.0,0.0,203.0,65.0,244.0
1,1.0,2.0,251.0,1.0,77.43,8.98,60.0,65.0,203.0,103.0,206.0
1,1.0,2.0,230.0,1.0,83.15,11.41,45.0,168.0,203.0,105.0,119.0
1,1.0,2.0,250.0,1.0,96.18,12.67,60.0,168.0,322.0,81.0,138.0
1,1.0,2.0,238.0,1.0,71.3,7.9,60.0,65.0,409.0,79.0,73.0
1,1.0,2.0,131.0,1.0,91.6,12.23,30.0,278.0,0.0,9.0,284.0
1,1.0,2.0,163.0,1.0,78.21,8.21,30.0,0.0,447.0,57.0,42.0
1,1.0,2.0,197.0,1.0,84.69,7.54,60.0,249.0,322.0,20.0,114.0
1,1.0,2.0,156.0,1.0,71.73,8.95,45.0,168.0,460.0,60.0,39.0
1,1.0,2.0,200.0,1.0,96.96,11.69,30.0,144.0,409.0,21.0,92.0
1,1.0,2.0,91.0,1.0,72.6,7.62,30.0,269.0,322.0,17.0,105.0
1,1.0,2.0,173.0,1.0,77.74,9.53,60.0,249.0,436.0,32.0,47.0
1,1.0,2.0,62.0,1.0,90.94,9.37,30.0,228.0,460.0,12.0,44.0
1,1.0,2.0,75.0,1.0,91.21,10.77,30.0,57.0,447.0,8.0,48.0
1,1.0,2.0,72.0,1.0,72.48,5.85,45.0,278.0,284.0,9.0,30.0
1,1.0,2.0,56.0,1.0,91.08,7.9,45.0,281.0,436.0,6.0,44.0
1,1.0,3.0,283.0,1.0,77.64,15.85,30.0,0.0,0.0,169.0,494.0
1,1.0,3.0,272.0,1.0,71.54,10.32,30.0,169.0,0.0,71.0,432.0
1,1.0,3.0,225.0,1.0,86.29,10.61,45.0,240.0,0.0,37.0,333.0
1,1.0,3.0,199.0,1.0,78.04,7.18,45.0,240.0,333.0,46.0,124.0
1,1.0,3.0,155.0,1.0,71.63,9.08,60.0,169.0,432.0,59.0,60.0
1,1.0,3.0,125.0,1.0,79.79,8.87,60.0,277.0,0.0,8.0,185.0
1,1.0,3.0,151.0,1.0,96.65,8.73,60.0,240.0,457.0,37.0,40.0
1,1.0,3.0,94.0,1.0,91.83,8.23,45.0,277.0,185.0,9.0,120.0
1,1.0,3.0,55.0,1.0,85.03,8.67,60.0,228.0,432.0,8.0,52.0
1,1.0,4.0,275.0,1.0,90.16,15.86,30.0,0.0,0.0,140.0,473.0
1,1.0,4.0,269.0,1.0,85.25,14.31,60.0,140.0,0.0,127.0,323.0
1,1.0,4.0,249.0,1.0,83.77,10.81,45.0,140.0,323.0,147.0,135.0
1,1.0,4.0,118.0,1.0,73.37,10.2,60.0,267.0,0.0,20.0,208.0
1,1.0,4.0,92.0,1.0,85.29,7.57,30.0,267.0,208.0,14.0,102.0
1,1.0,4.0,146.0,1.0,84.47,8.79,30.0,140.0,458.0,39.0,40.0
1,1.0,4.0,144.0,1.0,71.54,5.93,60.0,179.0,458.0,25.0,37.0
1,1.0,4.0,70.0,1.0,85.33,7.28,60.0,204.0,458.0,17.0,38.0
2,1.0,1.0,264.0,2.0,96.36,13.21,45.0,0.0,0.0,103.0,256.0
2,1.0,1.0,270.0,2.0,78.55,11.67,60.0,103.0,0.0,97.0,389.0
2,1.0,1.0,274.0,2.0,72.18,10.19,60.0,200.0,0.0,64.0,321.0
2,1.0,1.0,255.0,2.0,78.13,9.36,30.0,0.0,256.0,98.0,242.0
2,1.0,1.0,205.0,2.0,77.75,10.63,45.0,200.0,321.0,49.0,179.0
2,1.0,1.0,187.0,2.0,72.18,6.44,45.0,103.0,389.0,50.0,101.0
2,1.0,1.0,196.0,2.0,96.63,12.04,60.0,153.0,389.0,45.0,103.0
2,1.0,1.0,217.0,2.0,80.84,10.69,60.0,264.0,0.0,24.0,302.0
2,1.0,1.0,106.0,2.0,97.11,10.43,60.0,264.0,302.0,15.0,150.0
2,1.0,1.0,97.0,2.0,96.99,8.9,60.0,249.0,321.0,15.0,139.0
2,1.0,1.0,164.0,2.0,97.2,11.56,30.0,249.0,460.0,35.0,36.0
2,1.0,1.0,88.0,2.0,90.89,8.2,30.0,279.0,302.0,7.0,149.0
2,1.0,1.0,103.0,2.0,98.03,10.27,30.0,98.0,256.0,5.0,122.0
2,1.0,1.0,11.0,2.0,97.27,11.43,30.0,103.0,490.0,18.0,11.0
2,1.0,1.0,65.0,2.0,84.93,8.63,30.0,98.0,378.0,5.0,37.0
2,1.0,1.0,53.0,2.0,85.16,8.63,30.0,98.0,415.0,5.0,39.0
2,1.0,1.0,22.0,2.0,96.98,10.01,30.0,121.0,490.0,16.0,11.0
